index,player,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,team,MP,competition
0,Albano Benjamín Bizzarri,41,2,2,39,4,50.0,118,75.15923566878982,86,2,0,4,8,2,16,Chievo,35,Italy - Serie A
1,Alberto Brignoli,5,1,0,4,1,0.0,7,63.63636363636363,5,0,0,1,1,0,0,Sampdoria,1,Italy - Serie A
2,Alberto Pelagotti,5,1,0,4,1,0.0,26,86.66666666666667,20,1,0,1,1,0,3,Empoli,6,Italy - Serie A
3,Andrea Consigli,37,2,2,35,4,50.0,101,74.26470588235294,78,0,0,3,5,8,7,Sassuolo,37,Italy - Serie A
4,Andrea Seculin,2,0,0,2,0,0.0,13,86.66666666666667,10,0,0,0,0,2,1,Chievo,3,Italy - Serie A
5,Angelo Esmael da Costa Júnior,4,1,0,3,1,0.0,12,80.0,10,0,0,0,1,0,1,Bologna,5,Italy - Serie A
6,Anton Ciprian Tătărușanu,39,0,0,39,0,0.0,67,63.20754716981132,52,2,0,5,4,1,3,Fiorentina,37,Italy - Serie A
7,Antonio Mirante,41,7,1,34,8,12.5,95,73.64341085271317,66,2,0,1,9,8,9,Bologna,33,Italy - Serie A
8,Boris Radunović,1,0,0,1,0,0.0,1,50.0,0,1,0,0,0,0,0,Atalanta,1,Italy - Serie A
9,Daniele Padelli,48,7,0,41,7,0.0,89,68.46153846153847,63,0,0,5,13,3,5,Torino,35,Italy - Serie A
10,Davide Bassi,3,1,0,2,1,0.0,3,60.0,3,0,0,0,0,0,0,Atalanta,1,Italy - Serie A
11,Diego López Rodríguez,13,1,0,12,1,0.0,16,57.14285714285714,9,1,0,1,3,1,1,AC Milan,8,Italy - Serie A
12,Emiliano Viviano,54,5,4,49,9,44.44444444444444,136,73.51351351351352,103,0,0,7,6,5,15,Sampdoria,37,Italy - Serie A
13,Etrit Berisha,13,1,1,12,2,50.0,28,70.0,22,3,0,0,1,0,2,Lazio,11,Italy - Serie A
14,Eugenio Lamanna,17,1,0,16,1,0.0,39,70.9090909090909,31,0,0,0,2,1,5,Genoa,13,Italy - Serie A
