team,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,MP,Sh/90,SoT/90
Real Madrid,717,287,226,12,151,108,80.7949126904,40.0278940027894,15.062761506276152,37.63066202090592,0.11268467599776848,38,18.86842105263158,7.552631578947368
Napoli,664,244,239,11,147,78,64.6306677662,36.74698795180723,11.74698795180723,31.967213114754102,0.09733534302138555,38,17.473684210526315,6.421052631578948
Tottenham Hotspur,656,249,188,15,185,68,62.3562029292,37.957317073170735,10.365853658536585,27.309236947791167,0.09505518739207318,38,17.263157894736842,6.552631578947368
Liverpool,635,203,183,11,215,62,58.3736570603,31.968503937007874,9.763779527559056,30.541871921182267,0.09192701899259842,38,16.710526315789473,5.342105263157895
Bayern Munich,622,258,183,15,124,78,73.353521299,41.47909967845659,12.540192926045016,30.23255813953488,0.11793170626848873,34,18.294117647058822,7.588235294117647
Manchester City,614,209,189,9,178,71,64.5550554535,34.039087947882734,11.563517915309445,33.97129186602871,0.10513852679723128,38,16.157894736842106,5.5
Juventus,608,212,210,14,133,72,61.6795639639,34.868421052631575,11.842105263157894,33.9622641509434,0.10144665125641447,38,16.0,5.578947368421052
Barcelona,604,261,184,22,118,109,91.4336182236,43.211920529801326,18.046357615894042,41.7624521072797,0.1513801626218543,38,15.894736842105264,6.868421052631579
AS Roma,592,213,191,13,135,83,61.9490562535,35.97972972972973,14.020270270270272,38.967136150234744,0.10464367610388513,38,15.578947368421053,5.605263157894737
Arsenal,583,209,159,12,171,62,65.1361259979,35.84905660377358,10.634648370497427,29.665071770334926,0.11172577358130359,38,15.342105263157896,5.5
Fiorentina,582,179,200,13,157,58,53.8283523495,30.756013745704468,9.965635738831615,32.402234636871505,0.0924885779201031,38,15.31578947368421,4.7105263157894735
AC Milan,565,180,189,10,150,49,53.6957063618,31.858407079646017,8.672566371681416,27.22222222222222,0.0950366484279646,38,14.868421052631579,4.7368421052631575
West Ham United,559,181,186,11,150,64,54.5265472509,32.379248658318424,11.449016100178891,35.35911602209944,0.09754301833792486,38,14.710526315789474,4.7631578947368425
Chelsea,535,172,171,3,169,55,53.5799953292,32.149532710280376,10.2803738317757,31.976744186046513,0.1001495239798131,38,14.078947368421053,4.526315789473684
Inter Milan,530,163,167,7,150,49,51.3645296464,30.754716981132074,9.245283018867925,30.061349693251532,0.09691420688,38,13.947368421052632,4.2894736842105265
Southampton,527,168,195,11,130,57,54.2232578082,31.87855787476281,10.815939278937382,33.92857142857143,0.1028904322736243,38,13.868421052631579,4.421052631578948
Leicester City,525,179,177,9,134,67,66.282170986,34.095238095238095,12.761904761904763,37.43016759776536,0.1262517542590476,38,13.81578947368421,4.7105263157894735
Borussia Dortmund,524,209,167,7,117,80,77.1420916137,39.88549618320611,15.267175572519085,38.27751196172249,0.14721773208721375,34,15.411764705882353,6.147058823529412
Lazio,520,145,197,9,138,52,50.3632405512,27.884615384615387,10.0,35.86206896551724,0.09685238567538462,38,13.68421052631579,3.8157894736842106
Rayo Vallecano,501,178,162,11,114,52,50.3925160458,35.528942115768466,10.379241516966067,29.213483146067414,0.10058386436287425,38,13.18421052631579,4.684210526315789
Everton,498,173,137,11,157,56,50.6147446276,34.738955823293175,11.244979919678714,32.369942196531795,0.10163603338875501,38,13.105263157894736,4.552631578947368
Sassuolo,495,152,168,5,142,48,44.8564333613,30.707070707070706,9.696969696969697,31.57894736842105,0.09061905729555556,38,13.026315789473685,4.0
Wolfsburg,494,186,161,6,100,46,47.2867143419,37.65182186234818,9.31174089068826,24.731182795698924,0.09572209380951417,34,14.529411764705882,5.470588235294118
Frosinone,492,131,187,11,126,34,31.4776449871,26.6260162601626,6.910569105691057,25.954198473282442,0.06397895322581301,38,12.947368421052632,3.4473684210526314
VfB Stuttgart,491,175,147,10,123,48,53.9672469355,35.64154786150713,9.775967413441954,27.42857142857143,0.10991292654887984,34,14.441176470588236,5.147058823529412
Empoli,489,146,176,6,139,39,36.9095707227,29.85685071574642,7.975460122699387,26.71232876712329,0.07547969472944786,38,12.868421052631579,3.8421052631578947
Schalke 04,486,164,160,7,116,47,45.7951141457,33.744855967078195,9.670781893004115,28.65853658536585,0.09422862992942387,34,14.294117647058824,4.823529411764706
Atlético Madrid,483,164,163,16,105,62,52.972622673400004,33.95445134575569,12.836438923395447,37.80487804878049,0.10967416702567288,38,12.710526315789474,4.315789473684211
Bayer Leverkusen,480,178,131,17,110,51,49.7986809897,37.083333333333336,10.625,28.651685393258425,0.103747252061875,34,14.117647058823529,5.235294117647059
AFC Bournemouth,478,144,156,5,158,43,40.3515900006,30.125523012552303,8.99581589958159,29.86111111111111,0.08441755230251045,38,12.578947368421053,3.789473684210526
Torino,478,178,157,10,110,49,48.9721444665,37.238493723849366,10.251046025104603,27.52808988764045,0.10245218507635982,38,12.578947368421053,4.684210526315789
Crystal Palace,477,155,157,9,128,38,42.3834959999,32.494758909853246,7.966457023060797,24.516129032258064,0.08885428930796646,38,12.552631578947368,4.078947368421052
Genoa,473,154,170,5,121,44,42.8622374334,32.55813953488372,9.30232558139535,28.57142857142857,0.09061783812558138,38,12.447368421052632,4.052631578947368
Sevilla,472,183,158,5,93,50,60.8885334804,38.771186440677965,10.59322033898305,27.322404371584703,0.12900113025508475,38,12.421052631578947,4.815789473684211
Atalanta,472,143,170,3,113,38,42.3618460721,30.29661016949153,8.050847457627118,26.573426573426573,0.08974967388156779,38,12.421052631578947,3.763157894736842
Hellas Verona,469,143,160,7,126,34,42.9453558179,30.49040511727079,7.249466950959488,23.776223776223777,0.09156792285266525,38,12.342105263157896,3.763157894736842
Real Sociedad,466,159,154,10,112,44,46.0921157462,34.12017167381974,9.44206008583691,27.67295597484277,0.09891011962703863,38,12.263157894736842,4.184210526315789
Athletic Club,465,167,154,13,98,57,50.270193483599996,35.913978494623656,12.258064516129032,34.13173652694611,0.10810794297548386,38,12.236842105263158,4.394736842105263
RC Deportivo La Coruña,457,155,161,12,99,41,41.4166396847,33.91684901531728,8.971553610503284,26.451612903225808,0.0906272203166302,38,12.026315789473685,4.078947368421052
Borussia Mönchengladbach,457,190,123,15,107,64,49.1978222654,41.57549234135667,14.00437636761488,33.68421052631579,0.10765387804245076,34,13.441176470588236,5.588235294117647
Málaga,456,163,157,3,102,37,43.1806151174,35.74561403508772,8.114035087719298,22.699386503067483,0.09469433139780702,38,12.0,4.2894736842105265
Udinese,454,147,172,9,96,34,45.6571341632,32.378854625550666,7.488986784140969,23.12925170068027,0.10056637480881057,38,11.947368421052632,3.8684210526315788
Sunderland,451,147,151,7,130,44,42.4875824305,32.59423503325942,9.75609756097561,29.931972789115648,0.094207499845898,38,11.868421052631579,3.8684210526315788
Werder Bremen,451,140,146,9,125,49,49.9688872204,31.042128603104214,10.864745011086473,35.0,0.11079575880354767,34,13.264705882352942,4.117647058823529
Watford,450,139,143,8,140,36,44.0821463227,30.88888888888889,8.0,25.899280575539567,0.09796032516155555,38,11.842105263157896,3.6578947368421053
Swansea City,448,133,140,12,140,41,42.1451828459,29.6875,9.151785714285714,30.82706766917293,0.09407406885245537,38,11.789473684210526,3.5
Celta Vigo,446,153,149,16,107,51,50.1792051271,34.30493273542601,11.434977578475337,33.33333333333333,0.11250942853609865,38,11.736842105263158,4.026315789473684
Levante UD,443,144,147,9,102,36,36.7202921743,32.50564334085779,8.126410835214447,25.0,0.08289005005485327,38,11.657894736842104,3.789473684210526
Sampdoria,439,154,144,8,102,45,40.3998898589,35.079726651480634,10.250569476082005,29.22077922077922,0.09202708396104785,38,11.552631578947368,4.052631578947368
Augsburg,439,150,142,12,110,40,41.0139076493,34.16856492027335,9.111617312072893,26.666666666666668,0.09342575774328019,34,12.911764705882353,4.411764705882353
Getafe,436,146,148,10,102,36,39.4196258417,33.48623853211009,8.256880733944955,24.65753424657534,0.0904119858754587,38,11.473684210526315,3.8421052631578947
Carpi,434,132,152,8,106,33,41.0471415979,30.414746543778804,7.603686635944701,25.0,0.09457866727626728,38,11.421052631578947,3.473684210526316
Granada,434,132,145,10,113,45,39.8636810976,30.414746543778804,10.368663594470046,34.090909090909086,0.0918517997640553,38,11.421052631578947,3.473684210526316
Manchester United,431,141,121,7,142,46,42.1985886025,32.71461716937355,10.672853828306264,32.62411347517731,0.0979085582424594,38,11.342105263157896,3.710526315789474
Chievo,431,133,157,5,109,42,37.9047422636,30.8584686774942,9.744779582366588,31.57894736842105,0.08794603773457077,38,11.342105263157896,3.5
Ingolstadt,425,124,153,3,109,33,39.9611428105,29.176470588235293,7.764705882352942,26.61290322580645,0.09402621837764706,34,12.5,3.6470588235294117
Stoke City,425,129,169,3,99,40,40.3688437871,30.352941176470587,9.411764705882353,31.007751937984494,0.09498551479317646,38,11.18421052631579,3.3947368421052633
Eibar,424,152,111,10,111,48,50.1885986266,35.84905660377358,11.320754716981133,31.57894736842105,0.11836933638349056,38,11.157894736842104,4.0
Norwich City,424,123,164,9,113,38,38.8913271142,29.009433962264154,8.962264150943396,30.89430894308943,0.09172482809952831,38,11.157894736842104,3.236842105263158
Las Palmas,423,161,141,6,84,42,36.892301087199996,38.061465721040186,9.929078014184398,26.08695652173913,0.08721584181371157,38,11.131578947368421,4.2368421052631575
Palermo,416,121,144,9,111,37,35.5276707092,29.086538461538463,8.89423076923077,30.57851239669421,0.08540305458942309,38,10.947368421052632,3.1842105263157894
Valencia,410,138,132,6,109,43,46.5883402519,33.65853658536586,10.487804878048781,31.15942028985507,0.11363009817536586,38,10.789473684210526,3.6315789473684212
Real Betis,405,127,130,6,103,34,39.8616292637,31.35802469135803,8.395061728395062,26.77165354330709,0.09842377595975309,38,10.657894736842104,3.3421052631578947
FC Köln,404,155,129,5,78,38,41.4433116557,38.366336633663366,9.405940594059405,24.516129032258064,0.10258245459331683,34,11.882352941176471,4.5588235294117645
Newcastle United,404,150,126,5,111,43,40.665337452,37.12871287128713,10.643564356435643,28.666666666666668,0.10065677587128713,38,10.631578947368421,3.9473684210526314
Espanyol,399,146,116,11,98,38,44.5617739368,36.59147869674185,9.523809523809524,26.027397260273972,0.1116836439518797,38,10.5,3.8421052631578947
West Bromwich Albion,396,103,141,6,122,32,38.6267824366,26.01010101010101,8.080808080808081,31.06796116504854,0.09754237989040404,38,10.421052631578947,2.710526315789474
Bologna,395,114,125,8,116,33,32.3463905895,28.860759493670884,8.354430379746836,28.947368421052634,0.08188959642911392,38,10.394736842105264,3.0
Aston Villa,392,113,144,7,108,25,29.5810166938,28.8265306122449,6.377551020408164,22.123893805309734,0.07546177728010203,38,10.31578947368421,2.973684210526316
Hoffenheim,382,137,119,9,96,39,41.2047417372,35.86387434554974,10.209424083769633,28.467153284671532,0.1078658160659686,34,11.235294117647058,4.029411764705882
FSV Mainz 05,381,146,122,11,77,46,44.6510712279,38.320209973753286,12.073490813648293,31.506849315068493,0.11719441267165354,34,11.205882352941176,4.294117647058823
Sporting Gijón,380,118,123,9,91,39,40.9856688272,31.05263157894737,10.263157894736842,33.05084745762712,0.10785702322947369,38,10.0,3.1052631578947367
Hannover 96,379,125,114,9,102,30,31.6425541316,32.98153034300791,7.9155672823219,24.0,0.08348958873773087,34,11.147058823529411,3.676470588235294
Hamburger SV,375,130,131,3,85,37,37.7301255119,34.66666666666667,9.866666666666667,28.46153846153846,0.10061366803173333,34,11.029411764705882,3.823529411764706
Eintracht Frankfurt,364,128,110,4,94,32,33.6446402765,35.16483516483517,8.791208791208792,25.0,0.09243033042994506,34,10.705882352941176,3.764705882352941
Darmstadt 98,347,114,123,12,64,38,36.5811589458,32.85302593659942,10.951008645533141,33.33333333333333,0.10542120733659942,34,10.205882352941176,3.3529411764705883
Villarreal,347,129,120,12,69,42,37.0719174155,37.17579250720461,12.103746397694524,32.55813953488372,0.10683549687463978,38,9.131578947368421,3.3947368421052633
Hertha Berlin,330,124,91,6,83,41,36.3240973433,37.57575757575757,12.424242424242424,33.064516129032256,0.11007302225242423,34,9.705882352941176,3.6470588235294117
